URL,CATEGORY,SENTIMENT
https://www.tabu.ro/3-lucruri-pe-care-trebuie-sa-le-faci-primavara-aceasta/,Politic,Negative
http://www.sfatulmedicului.ro/Bolile-aparatului-respirator/efectele-poluarii-aerului-asupra-sanatatii_15907,Medical,Neutral
https://republica.ro/am-fost-intr-o-tara-europeana-mai-corupta-chiar-decat-romania,Politic,Negative
http://www.sfatulmedicului.ro/Diete/ce-poti-face-cand-dieta-ta-nu-da-rezultate_15908,Sanatate,Neutral
http://www.sfatulmedicului.ro/Boli-genitale-feminine/infectii-urinare-frecventei-afla-cauzele-si-cum-le-poti-evita_15917,Medical,Neutral
http://gadget24.ro/oneplus-3-dezvaluit-pe-14-iunie.html,Stiinta & Tehnologie,Neutral
https://www.tabu.ro/scoala-aba-make-academy-te-asteapta-la-cursuri-de-machiaj-pentru-incepatori-si-avansati/,Moda & Frumusete,Positive
http://gadget24.ro/telefoanele-oukitel-promotie-gearbest.html,Stiinta & Tehnologie,Neutral
http://www.digi24.ro/stiri/actualitate/justitie/laura-codruta-kovesi-la-curtea-de-apel-ploiesti-674469,Politic,Negative
http://www.gsp.ro/international/campionate/ziarele-din-anglia-anunta-astazi-un-transfer-soc-rooney-pleaca-saptamana-viitoare-de-la-united-cifrele-colosale-ale-mutarii-502697.html,Sport,Neutral
http://www.gsp.ro/international/campionate/galerie-foto-primele-imagini-de-la-petrecerea-monstru-data-de-adriano-a-avut-400-de-invitati-cati-bani-a-spart-502698.html,Monden,Neutral
http://www.digi24.ro/stiri/externe/sua/sofer-roman-prins-cu-cocaina-in-valoare-de-2-milioane-de-dolari-674494,Social,Negative
https://www.tabu.ro/trainerii-luxury-academy-au-realizat-prima-consultanta-de-imagine/,Moda & Frumusete,Positive
http://gadget24.ro/infocus-telefon-metalic-50-reducere.html,Stiinta & Tehnologie,Positive
http://www.sfatulmedicului.ro/Sanatatea-ochilor/discromatopsia-lipsa-de-perceptie-a-culorilor_15909,Medical,Neutral
http://www.digi24.ro/stiri/externe/mapamond/presedintele-islandei-anunta-ca-ar-interzice-ananasul-pe-pizza-674439,Monden,Neutral
http://www.campusnews.ro/stiri-studii-14366901-studentii-romani-renew-iasi-castigatori-premiului-targul-international-intreprinderilor-simulate-bhak-liezen-2013.htm,Educatie,Positive
http://www.campusnews.ro/stiri-burse_stagii-14631015-platforma-stagiatura-pentru-studentii-interesati-comunicare.htm,Educatie,Neutral
http://www.gsp.ro/international/europa-league/declaratie-indrazneata-a-lui-daniel-niculae-inaintea-meciului-decisiv-cu-genk-sa-ne-ridicam-la-nivelul-meciurilor-din-liga-campionilor-cum-spera-sa-ii-surprinda-pe-belgieni-502746.html,Sport,Neutral
https://www.gustos.ro/sfaturi-culinare/sfaturi-practice/de-ce-nu-e-bine-sa-recongelezi-carnea-dezghetata.html,Sanatate,Neutral
http://bucurestiul.ro/foto-nu-e-casa-poporului-e-casa-de-671-mp-ministrei-pesediste-rovana-plumb-de-langa-bucuresti/,Monden,Neutral
http://www.historia.ro/exclusiv_web/timp-liber/articol/prietenii-muzicii-muzeul-etnografic-al-transilvaniei,Istorie,Neutral
